SNO,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,PH_DETAILS,EC_DETAILS,OC_DETAILS,AVN_DETAILS,PHOS_DETAILS,POT_DETAILS,SULPHUR,ZINC_DETAILS,BORON_DETAILS,IRON_DETAILS,MANGAN_DETAILS,COPPER_DETAILS
OOT187,403,503,772,787,1231,2250,2521,2594,2667,2389,2173,1379,5.76,0.15,0.4654,345,12,3275,0.001,14.752,0.001,1.84575,0.01,1.01382
OOT188,400,477,810,828,1351,2641,2989,3092,3179,3261,2556,1570,5.73,0.19,0.2289,128,23,117.2,0.001,2.9965,3.2,7.8966,7.8,1.2465
OOT189,461,453,754,622,1219,2889,3322,3476,3529,3060,2298,1282,5.07,0.19,0.3454,324,14,222.2,0.001,2.0745,0.001,4.3656,0.01,1.4404
OOT190,322,396,712,716,1279,2652,3066,3231,3326,3234,2490,1492,4.48,0.21,0.454,234,77,325,0.001,1.4752,0.001,6.27876,0.01,3.63147
OOT191,339,347,596,404,1008,2825,3365,3518,3622,3238,2007,1008,5.21,0.19,0.8408,560,126,105,0.001,2.5816,0.001,7.5435,0.01,3.33785
OOT193,403,494,850,1107,1564,2467,2792,2888,2966,2911,2825,1932,5.84,1.17,0.464974,332,66.6,103.5,0.001,1.5674,0.001,6.24987,0.01,0.3878
OOT194,234,474,779,918,1287,2041,2297,2410,2404,3240,2167,1571,5.94,1.46,0.5791,368,147,327,0.001,2.62309,0.001,1.35141,0.01,3.4071
OOT195,8567,7825,7494,7169,7484,7121,6961,6608,6893,12294,3872,2713,5.75,0.98,2.51,560,12,129.3,0.001,2.40181,0.001,1.67883,0.01,0.4432
OOT196,5377,4828,4611,4160,4750,5265,5388,5357,5335,16083,2605,2365,5.65,0.05,0.8439,560,19,327,0.001,2.66458,0.001,3.63372,0.01,2.0221
OOT197,283,427,768,976,1410,2298,2618,2818,2858,3014,2712,1828,6.67,0.56,0.63467,314,18,430,0.001,2.5355,0.001,7.45041,0.01,2.3545
OOT198,337,368,594,520,982,2127,2508,2711,2737,2619,2006,1256,6.34,0.4,0.16346,315,17,327,0.001,4.8866,0.001,1.04325,0.01,2.1052
OOT199,283,427,768,976,1410,2298,2618,2818,2858,3014,2712,1828,6.65,0.07,0.1,423,35,391,0.001,5.3937,0.001,3.73965,0.01,0.3047
OOT200,283,427,768,976,1410,2298,2618,2818,2858,3014,2712,1828,5.42,0.14,0.4644,11,65,249,0.001,2.3972,0.001,1.70772,0.01,3.4071
OOT201,304,473,706,753,1138,2085,2428,2628,2672,2718,2321,1628,4.93,0.07,0.5641641,111,16,327,0.001,1.31846,0.001,1.96452,0.01,0.01385
OOT202,552,465,593,479,860,2027,2376,2481,2581,2991,1824,1039,4.97,0.22,0.4045,560,45,428,0.001,1.63194,0.001,1.03362,0.01,2.66751
OOT203,258,294,469,340,770,2041,2511,2716,2742,2805,1608,891,5.16,0.35,0.4539,560,65,117,0.001,2.83515,0.001,2.87937,0.01,4.2104
